0.01,0.006112,0.10002,4.21,1.86,1752,8.49,569,16.3,12.96,0.97
5,0.008719,0.10001,4.204,1.86,1501,8.66,578,16.7,10.92,0.96
10,0.01227,0.10003,4.193,1.86,1300,8.83,587,17.1,9.29,0.96
15,0.01704,0.1001,4.186,1.87,1136,9,595,17.5,7.99,0.96
20,0.02337,0.10018,4.183,1.87,1002,9.18,603,17.9,6.95,0.96
25,0.03166,0.1003,4.181,1.88,890,9.35,611,18.3,6.09,0.96
30,0.04242,0.10044,4.179,1.88,797,9.52,618,18.7,5.39,0.96
35,0.05622,0.1006,4.178,1.88,718,9.7,625,19.1,4.8,0.96
40,0.07375,0.10079,4.179,1.89,651,9.87,632,19.5,4.3,0.96
45,0.09582,0.10099,4.181,1.89,594,10,638,19.9,3.89,0.95
50,0.1233,0.1012,4.182,1.9,544,10.2,643,20.4,3.54,0.95
55,0.1574,0.1015,"4.183",1.9,501,10.4,648,20.8,3.23,0.95
60,0.1992,0.1017,"4.185",1.91,463,10.6,653,21.2,2.97,0.95
65,0.2501,0.102,4.188,1.92,430,10.7,658,21.6,2.74,0.95
70,0.3116,0.1023,4.191,1.93,400,10.9,662,22,2.53,0.96
75,0.3855,0.1026,4.194,1.94,374,11.1,666,22.5,2.36,0.96
80,0.4736,0.1029,4.198,1.95,351,11.3,670,22.9,2.2,0.96
85,0.578,0.1032,4.203,1.96,330,11.4,673,23.3,2.06,0.96
90,0.7011,0.1036,4.208,1.97,311,11.6,676,23.8,1.94,0.96
95,0.8453,0.104,4.213,1.99,294,11.8,678,24.3,1.83,0.97
100,1.01325,0.1044,4.219,2.01,279,12,681,24.8,1.73,0.97
105,1.208,0.1048,4.226,2.03,265,12.2,683,25.3,1.64,0.98
110,1.433,0.1052,4.233,2.05,252,12.4,684,25.8,1.56,0.99
115,1.691,0.1056,"4.240",2.07,241,12.6,686,26.3,1.49,0.99
120,1.985,0.106,4.248,2.09,230,12.8,687,26.8,1.42,1
125,2.321,0.1065,4.26,2.12,220,13,687,27.3,1.36,1.01
130,2.701,0.107,4.27,2.15,211,13.2,688,27.8,1.31,1.02
135,3.131,0.1075,4.28,2.18,203,13.4,688,28.3,1.26,1.03
140,3.614,0.108,4.29,2.21,195,13.5,688,28.8,1.22,1.04
145,4.155,0.1085,4.3,2.25,188,13.7,687,29.4,1.18,1.05
150,"4,760",0.1091,4.32,2.29,181,13.9,687,30,1.14,1.07
160,6.181,0.1102,4.35,2.38,169,14.2,684,31.3,1.07,1.09
170,7.92,0.1114,4.38,2.49,159,14.6,681,32.6,1.02,1.12
180,10.03,0.1128,4.42,2.62,149,15,676,34.1,0.97,1.15
190,12.55,0.1142,4.46,2.76,141,15.3,671,35.7,0.94,1.18
200,15.55,0.1157,4.51,2.91,134,15.7,665,37.5,0.91,1.22
210,19.08,0.1173,4.56,3.07,127,16,657,39.4,0.88,1.25
220,23.2,0.119,4.63,3.25,121,16.3,648,41.5,0.86,1.28
230,27.98,0.1209,4.7,3.45,116,16.7,639,43.9,0.85,1.31
240,33.48,0.1229,4.78,3.68,111,17.1,628,46.5,0.84,1.35
250,39.78,0.1251,4.87,3.94,107,17.5,616,49.5,0.85,1.39
260,46.94,0.1276,4.98,4.22,103,17.9,603,52.8,0.85,1.43
270,55.05,0.1302,5.1,4.55,99,18.3,589,56.6,0.86,1.47
280,64.19,0.1332,5.24,4.98,96,18.8,574,61,0.88,1.53
290,74.45,0.1366,5.42,5.46,93,19.3,558,66,0.9,1.6
300,85.92,0.1404,5.65,6.18,90,19.8,541,72,0.94,1.7
